Name,Avg_Rating,Avg_Sentiment,Cost,Avg_Review_Length,Avg_Follower_Count,Cluster,PCA1,PCA2,Cluster_Name
10 Downing Street,3.8,0.62,1900,375.86,261.4148936170213,2,2.0577114991230445,0.5125839669669745,Premium Engaged
13 Dhaba,3.48,0.34,450,215.28,114.28,1,-0.9438863804481269,-0.606216198913333,Budget Decent
"3B's - Buddies, Bar & Barbecue",4.76,0.87,1100,194.53,17.278350515463917,0,1.7622964536955077,-2.832417022755014,Premium Excellence
AB's - Absolute Barbecues,4.88,0.95,1500,206.8,10.6,0,2.43201880774886,-2.938653010562612,Premium Excellence
Absolute Sizzlers,3.62,0.37,750,245.99,225.36986301369862,1,-0.15840863130305505,0.026912265095988954,Budget Decent
Al Saba Restaurant,3.1363636363636362,0.050505050505050504,750,141.87878787878788,120.54878048780488,3,-1.8411921748902762,-0.1416465171209795,Underperformers
American Wild Wings,3.9740259740259742,0.5584415584415584,600,519.987012987013,474.0943396226415,2,1.8351591970677585,1.9050653532880368,Premium Engaged
Amul,3.9292929292929295,0.5151515151515151,150,118.67676767676768,97.33333333333333,1,-0.7546016245049157,-1.7517636901785534,Budget Decent
Arena Eleven,4.117647058823529,0.6705882352941176,1600,545.4941176470588,271.19444444444446,2,2.8033262655402367,0.8545041933719142,Premium Engaged
Aromas@11SIX,3.46,0.27,750,260.0,145.09411764705882,1,-0.6280079802328624,-0.08831673788752196,Budget Decent
Asian Meal Box,2.58,-0.19,200,198.38,125.64935064935065,3,-3.1883937741814994,0.7729504738872415,Underperformers
B-Dubs,4.81,0.94,1600,212.15,48.77777777777778,0,2.51950348574775,-2.6179497942278576,Premium Excellence
Banana Leaf Multicuisine Restaurant,3.69,0.5,700,226.45,94.1875,1,-0.18494923068097174,-1.000185120989342,Budget Decent
Barbeque Nation,4.12,0.71,1600,373.8,346.80898876404495,2,2.4534419976455912,0.520099938577563,Premium Engaged
Behrouz Biryani,2.825,-0.05,600,251.1,131.5125,3,-2.1110706619838524,0.7153134536579562,Underperformers
Being Hungry,3.6464646464646466,0.36363636363636365,450,92.79797979797979,91.51612903225806,1,-1.177710349927915,-1.3915579610231605,Budget Decent
Beyond Flavours,4.28,0.7,800,271.55,134.14666666666668,0,1.1383303729073466,-1.3323164952606696,Premium Excellence
Biryanis And More,3.74,0.48,500,295.81,128.4578313253012,1,-0.055573059157792586,-0.5933515021882535,Budget Decent
Cafe Eclat,3.59,0.44,700,363.01,233.42268041237114,1,0.3121882694886899,0.4646671468317778,Budget Decent
Cascade - Radisson Hyderabad Hitec City,4.26,0.64,1800,424.6,359.59090909090907,2,2.830955089171796,0.8105145582054719,Premium Engaged
Chinese Pavilion,3.745,0.43,1000,445.24,380.9247311827957,2,1.2744019383495755,1.5418498249173334,Premium Engaged
Club Rogue,2.88,0.03,900,391.92,132.56382978723406,3,-1.1533923624844695,1.2010898648755008,Underperformers
Collage - Hyatt Hyderabad Gachibowli,3.41,0.25,2800,451.43,187.6421052631579,2,1.8354151574605508,1.41298941156839,Premium Engaged
Cream Stone,3.845,0.5,350,211.97,159.03614457831324,1,-0.2641103071781251,-0.9101042720547629,Budget Decent
Delhi-39,2.975,0.0,600,91.8,14.902439024390244,3,-2.6098698585065114,-0.7470743799979088,Underperformers
Deli 9 Bistro,3.82,0.57,700,289.38,299.0,1,0.6866865744706789,0.16314302850550966,Budget Decent
